marker,n,r_virtues,r_ridge,r_template,virtues_minus_ridge,virtues_minus_template
CD45,72,0.6116698703539328,0.5790573187930318,0.023026308820214923,0.03261255156090104,0.5886435615337179
CD3,72,0.47938137653494006,0.4141581472856052,0.005538990034000931,0.06522322924933488,0.47384238650093913
Pancytokeratin,72,0.4532898819334177,0.40331761030186647,0.01672977007720495,0.04997227163155121,0.43656011185621274
CD68,72,0.44793432352119855,0.4306087585093335,0.014314258805254351,0.01732556501186505,0.4336200647159442
CD14,72,0.4442589449524448,0.40878755272800144,0.007241461873502313,0.03547139222444334,0.43701748307894245
CD31,72,0.44299491861811624,0.3084511964651036,-0.005395067347847623,0.13454372215301263,0.44838998596596386
E-Cadherin,72,0.4150739861361022,0.4135581875829371,-0.001809286881652549,0.001515798553165082,0.41688327301775474
HistoneH3,72,0.4093362873742048,0.2506414552372472,0.013305718378009467,0.15869483213695762,0.3960305689961953
pS6,72,0.3931005467964218,0.41980489575799207,-0.001102767422021454,-0.026704348961570257,0.3942033142184433
Vimentin,72,0.39248284321876037,0.38923829279388833,0.007470748279011238,0.003244550424872039,0.38501209493974914
CD56,72,0.3874737419290866,0.42566640443487674,0.0063583120271661145,-0.03819266250579012,0.3811154299019205
CD44,72,0.38410741752886757,0.3759474196897273,-0.0027254193774477365,0.008159997839140287,0.3868328369063153
CD8a,72,0.36122411557869755,0.35768250624432335,0.01612957694600407,0.003541609334374196,0.34509453863269346
CD4,72,0.3519235191283591,0.33339238413145544,-0.003040228347564481,0.018531134996903675,0.3549637474759236
CD11c,72,0.3360565389887455,0.3148216905257078,0.002777483109556733,0.021234848463037692,0.33327905587918877
CD206,72,0.33250521675534517,0.30241945413999455,0.010442640425981064,0.03008576261535062,0.3220625763293641
CD163,72,0.33050853292093274,0.2881825491164149,0.002924105580388682,0.04232598380451785,0.32758442734054405
GranzymeB,72,0.32254779893399466,0.3544132203231598,0.01463658767148119,-0.03186542138916515,0.3079112112625135
CD16,72,0.2995093876256041,0.320958954609209,0.00047013104093458806,-0.021449566983604895,0.2990392565846695
aSMA,72,0.2992117938412208,0.25955707812554735,0.013540809053798945,0.03965471571567347,0.28567098478742187
CD209,72,0.29128196998472644,0.333411470396291,0.005726146461268964,-0.04212950041156455,0.2855558235234575
VEGF,72,0.28250321914978405,0.329594729817099,-0.003900931881340274,-0.04709151066731493,0.2864041510311243
CD11b,72,0.2678329274457223,0.29824403735910154,0.009132054468379598,-0.030411109913379253,0.2587008729773427
pNFkB,72,0.21665301504438375,0.20400940838588844,0.02235526304860316,0.012643606658495316,0.1942977519957806
CD36,72,0.20531782189203268,0.22375829483664406,-0.00047495979826877286,-0.018440472944611375,0.20579278169030146
Ki67,72,0.18508600637538455,0.24493145433690572,0.01091343661919763,-0.059845447961521164,0.17417256975618692
Collagen,72,0.16889821987753142,0.18717280160030964,0.04242495700085657,-0.01827458172277821,0.12647326287667485
CD20,72,0.16621881098934355,0.158687198491895,-0.001549218700121091,0.007531612497448548,0.16776802968946464
pERK,72,0.13950047368877122,0.12059916102888929,0.004156779850628209,0.01890131265988193,0.13534369383814301
Podoplanin,36,0.13104032661855167,0.13447636499530322,-0.0002694921990334541,-0.003436038376751549,0.13130981881758513
CD86,36,0.11520428375875327,0.14714102737004595,-0.0038063269604822103,-0.03193674361129267,0.11901061071923548
FoxP3,72,0.10587495058242065,0.1095353118550852,0.00232907865710406,-0.0036603612726645446,0.10354587192531658
pp38,72,0.1055166305170654,0.10190690389176107,-0.0023157732879197455,0.0036097266253043298,0.10783240380498516
pMAPKAPK2,72,0.08544579597213688,0.28899270555157175,0.010456156167616134,-0.2035469095794349,0.07498963980452074
pSTAT1,72,0.07511166619871754,0.07353224331924169,0.003881791446252572,0.0015794228794758502,0.07122987475246496
CD45RA,72,0.07044364200010717,0.14447493752004326,-0.0043344600889108215,-0.07403129551993609,0.07477810208901799
pSTAT3,72,0.0670121881116186,0.10452023012419147,0.0003087158386826549,-0.037508042012572865,0.06670347227293595
CD15,72,0.06219846413922982,0.07741495699630478,0.006937540189126169,-0.015216492857074965,0.05526092395010365
pCREB,72,0.052071487034623914,0.3281688027418182,-0.00028301089076697547,-0.2760973157071943,0.05235449792539089
